,tconst,averageRating,numVotes
73792,tt0099554,3.6,198
181904,tt0300576,4.8,198
384231,tt0759057,6.8,198
528142,tt11193036,6.5,198
56094,tt0079067,7.9,198
219205,tt0384991,5.7,198
734026,tt15245268,7.8,198
673009,tt13989462,6.0,198
55933,tt0078886,6.2,198
454521,tt0984055,6.7,198
1154745,tt4474750,5.4,198
425307,tt0877354,6.0,198
690453,tt14341058,6.2,198
148570,tt0233491,7.2,198
12922,tt0028568,5.0,198
174103,tt0285375,6.5,198
1423055,tt9683542,2.0,198
1026611,tt2886428,6.9,198
1401058,tt9081856,5.5,198
70598,tt0095891,6.6,198
1030307,tt29171927,6.0,198
1273926,tt6357504,6.3,198
1160809,tt4570984,8.3,198
181865,tt0300500,3.7,198
42916,tt0063985,6.1,198
910371,tt2197566,7.2,198
890902,tt2125429,4.6,198
103947,tt0144730,7.7,198
10891,tt0026027,6.0,198
64815,tt0089203,7.1,198
30043,tt0049254,5.8,198
645980,tt13450602,7.2,198
30035,tt0049245,6.2,198
217574,tt0381473,5.5,198
646115,tt13452364,4.0,198
37453,tt0057656,7.2,198
506294,tt10826116,6.2,198
64974,tt0089386,4.7,198
50195,tt0072243,5.5,198
47845,tt0069589,7.4,198
923084,tt22503236,6.6,198
885334,tt2109146,5.9,198
199250,tt0339144,4.7,198
36441,tt0056546,6.4,198
729393,tt1515059,7.4,198
1252717,tt6037866,6.0,198
484901,tt10452178,7.7,198
820133,tt1815013,7.2,198
400020,tt0805640,4.5,198
7564,tt0021550,5.9,198
615808,tt12883472,4.6,198
944776,tt23635346,4.5,198
114624,tt0165075,6.6,198
844002,tt1918638,6.6,198
245675,tt0445884,7.7,198
12031,tt0027456,5.7,198
263910,tt0490878,3.6,198
19964,tt0037076,4.8,198
1396124,tt8993614,6.2,198
1176816,tt4840686,5.7,198
1283956,tt6536668,4.9,198
67017,tt0091765,5.9,198
989684,tt26932098,8.2,198
153117,tt0243705,7.2,198
146564,tt0229211,4.9,198
1353589,tt7967038,6.7,198
1285378,tt6563012,5.8,198
148333,tt0233043,7.1,198
141667,tt0218057,7.1,198
92065,tt0122060,6.6,198
471660,tt10225288,6.5,198
1311916,tt7094790,6.4,198
41194,tt0061988,6.1,198
80030,tt0106997,6.8,198
16813,tt0033366,6.0,198
1372035,tt8393918,4.4,198
39688,tt0060213,4.7,198
178507,tt0293808,5.6,198
1391957,tt8889716,4.5,198
225585,tt0398198,6.9,198
71085,tt0096445,4.4,198
838160,tt1883661,5.4,198
983334,tt2658192,5.1,198
1312311,tt7105548,5.0,198
18725,tt0035610,5.1,198
646436,tt13458064,8.0,198
216912,tt0380124,6.4,198
1347009,tt7830480,3.7,198
1086469,tt3436572,3.5,198
49377,tt0071322,7.2,198
750602,tt1560170,7.8,198
506881,tt10839646,7.7,198
220905,tt0388586,8.8,198
36637,tt0056765,8.4,198
235031,tt0420472,4.7,198
789600,tt1686306,6.1,198
728785,tt15139584,3.9,198
65661,tt0090181,5.9,198
472687,tt1024188,6.9,198
473804,tt10262160,4.8,198
852496,tt1961271,4.7,198
789066,tt1683416,6.2,198
937557,tt2324096,5.3,198
1287596,tt6605830,6.3,198
1374404,tt8447844,5.6,198
507761,tt10856380,6.7,198
14498,tt0030558,6.6,198
1029201,tt2909482,1.3,198
643032,tt13397632,6.7,198
77456,tt0103917,4.5,198
1215413,tt5467140,6.4,198
1116607,tt3849586,4.0,198
248533,tt0452744,4.3,198
670354,tt13930868,3.0,198
1065859,tt3171226,7.9,198
15600,tt0031917,6.1,198
448696,tt0961173,7.1,198
209833,tt0364770,6.4,198
75890,tt0102055,5.8,198
475907,tt10300674,5.1,198
611847,tt1280729,8.3,198
522447,tt1110212,5.2,198
1258571,tt6120354,2.3,198
801460,tt1731737,7.0,198
252623,tt0462689,7.3,198
172010,tt0281713,5.3,198
493712,tt1059828,3.2,198
400247,tt0806369,2.3,198
477679,tt1032880,7.6,198
960910,tt2456424,8.8,198
1038645,tt29630794,8.9,198
1084264,tt3400932,4.4,198
391453,tt0780131,5.8,198
580789,tt12169430,9.2,198
1002759,tt2758700,7.1,198
643657,tt1340801,5.0,198
969638,tt2542544,5.5,198
138145,tt0210816,4.8,198
1147006,tt4351916,5.2,198
428923,tt0889408,7.2,198
25048,tt0043330,5.9,198
701617,tt1456937,5.9,198
968499,tt2535084,4.7,198
1296742,tt6797946,6.4,198
1176219,tt4830796,4.4,198
162461,tt0262934,6.9,198
562079,tt1181320,6.7,198
47290,tt0068951,7.5,198
179861,tt0296373,7.7,198
114520,tt0164887,4.7,198
204735,tt0353400,6.3,198
124945,tt0184553,6.7,198
605442,tt12675670,3.6,198
194332,tt0326436,6.1,198
878198,tt2084868,6.9,198
603207,tt12630622,7.2,198
40744,tt0061448,5.2,198
77400,tt0103845,6.3,198
645611,tt13444944,6.8,198
821301,tt1820357,7.5,198
16576,tt0033088,5.4,198
35727,tt0055759,5.8,198
1400014,tt9063198,7.7,198
712832,tt1479688,5.6,198
1117809,tt3867974,7.6,198
47124,tt0068752,3.7,198
202602,tt0347843,4.8,198
438157,tt0924168,8.0,198
251642,tt0460634,6.1,198
730741,tt1517750,8.5,198
1318166,tt7224628,6.5,198
76437,tt0102706,2.8,198
40699,tt0061397,5.8,198
996154,tt27267852,7.0,198
112337,tt0160439,6.7,198
1120081,tt3904962,6.2,198
115206,tt0166062,8.3,197
904810,tt21809416,4.4,197
27611,tt0046399,6.3,197
1025394,tt2877296,7.0,197
903784,tt2176493,7.2,197
1365250,tt8237924,7.0,197
70869,tt0096197,4.3,197
70995,tt0096335,3.6,197
265451,tt0495264,7.5,197
213110,tt0371632,9.5,197
1027299,tt28943323,4.4,197
1165616,tt4658248,3.5,197
482108,tt10404822,4.2,197
775020,tt1632166,8.2,197
32530,tt0052133,6.3,197
